"SPECIES: common name","Common house gecko"
 1165 , 5777 
 2114 , 5776 
 2668 , 5771 
 2402 , 5744 
 1142 , 5739 
 1748 , 5715 
 1216 , 5709 
 2701 , 5709 
 1983 , 5705 
 1413 , 5694 
 1560 , 5692 
 1891 , 5688 
 2195 , 5679 
 2864 , 5672 
 1878 , 5658 
 2430 , 5656 
 2856 , 5654 
 1176 , 5651 
 1327 , 5646 
 2600 , 5613 
 1576 , 5613 
 1796 , 5608 
 1421 , 5608 
 2563 , 5607 
 1395 , 5600 
 988 , 5595 
 1090 , 5578 
 1271 , 5574 
 2031 , 5573 
 1294 , 5541 
 1458 , 5533 
 933 , 5509 
 1644 , 5479 
 1266 , 5471 
 1173 , 5458 
 888 , 5454 
 1085 , 5447 
 976 , 5434 
 720 , 5427 
 853 , 5416 
 946 , 5367 
 1101 , 5340 
 878 , 5319 
 694 , 5311 
 805 , 5269 
 901 , 5260 
 1083 , 5246 
 719 , 5238 
 1538 , 5227 
 915 , 5213 
 997 , 5194 
 1133 , 5173 
 1107 , 5169 
 1666 , 5162 
 853 , 5160 
 1253 , 5149 
 1189 , 5144 
 1452 , 5141 
 1500 , 5134 
 994 , 5128 
 1351 , 5121 
 1281 , 5096 
 1907 , 5093 
 960 , 5085 
 1155 , 5076 
 1418 , 5074 
 1316 , 5056 
 1326 , 5054 
 1049 , 5031 
 1483 , 5023 
 970 , 5012 
 1629 , 5004 
 1981 , 4989 
 1194 , 4967 
 1114 , 4945 
 1323 , 4942 
 1646 , 4942 
 1222 , 4930 
 1924 , 4914 
 1672 , 4894 
 1415 , 4885 
 1862 , 4855 
 1574 , 4842 
 1346 , 4840 
 1238 , 4834 
 1316 , 4804 
 1431 , 4781 
 1573 , 4769 
 1867 , 4737 
 1407 , 4730 
 1715 , 4717 
 1614 , 4714 
 1534 , 4703 
 2929 , 4694 
 3046 , 4669 
 2015 , 4649 
 2202 , 4624 
 2577 , 4623 
 2782 , 4621 
 2485 , 4619 
 1876 , 4610 
 2664 , 4603 
 1589 , 4602 
 2970 , 4596 
 1231 , 4595 
 2418 , 4594 
 2184 , 4586 
 1422 , 4585 
 2953 , 4576 
 2762 , 4557 
 1344 , 4556 
 3096 , 4554 
 1239 , 4543 
 1416 , 4532 
 2619 , 4528 
 2400 , 4518 
 2507 , 4518 
 1398 , 4495 
 3043 , 4495 
 1171 , 4470 
 1674 , 4467 
 2162 , 4464 
 2976 , 4460 
 2580 , 4456 
 2884 , 4453 
 1290 , 4444 
 2957 , 4442 
 2696 , 4440 
 1771 , 4431 
 2100 , 4428 
 1605 , 4422 
 1223 , 4405 
 1140 , 4402 
 2638 , 4394 
 1601 , 4389 
 1446 , 4383 
 1256 , 4383 
 2187 , 4383 
 1861 , 4374 
 1411 , 4369 
 2947 , 4357 
 2510 , 4352 
 2795 , 4344 
 3023 , 4341 
 2066 , 4340 
 1099 , 4331 
 2651 , 4330 
 2444 , 4327 
 1529 , 4315 
 1994 , 4304 
 1413 , 4297 
 1025 , 4287 
 1243 , 4286 
 1757 , 4280 
 3027 , 4271 
 2765 , 4266 
 2941 , 4264 
 1077 , 4255 
 1678 , 4255 
 1878 , 4253 
 1212 , 4240 
 1610 , 4236 
 1322 , 4231 
 1346 , 4212 
 932 , 4212 
 2228 , 4209 
 1142 , 4209 
 2970 , 4198 
 2387 , 4191 
 2709 , 4188 
 1470 , 4188 
 1989 , 4184 
 1001 , 4180 
 882 , 4147 
 1684 , 4138 
 2106 , 4133 
 1372 , 4131 
 2560 , 4129 
 1934 , 4117 
 1246 , 4106 
 1036 , 4099 
 1160 , 4097 
 1612 , 4093 
 1317 , 4092 
 1444 , 4087 
 919 , 4075 
 1824 , 4072 
 2204 , 4052 
 1671 , 4039 
 1295 , 4035 
 1381 , 4030 
 1956 , 4026 
 1060 , 4021 
 2315 , 4020 
 1192 , 4016 
 1748 , 4016 
 1820 , 4014 
 1501 , 3992 
 1617 , 3991 
 1417 , 3965 
 903 , 3961 
 1330 , 3960 
 2076 , 3953 
 1499 , 3915 
 946 , 3914 
 1499 , 3907 
 1604 , 3907 
 1149 , 3906 
 2092 , 3903 
 1901 , 3903 
 1631 , 3892 
 1373 , 3874 
 1550 , 3860 
 895 , 3860 
 1452 , 3856 
 2070 , 3847 
 1089 , 3841 
 1280 , 3841 
 1920 , 3835 
 1159 , 3829 
 2010 , 3817 
 1507 , 3787 
 1097 , 3779 
 1412 , 3774 
 1632 , 3771 
 1738 , 3767 
 1267 , 3762 
 1054 , 3759 
 941 , 3759 
 1014 , 3757 
 929 , 3754 
 1866 , 3747 
 1565 , 3735 
 1416 , 3697 
 963 , 3683 
 1605 , 3662 
 1833 , 3662 
 1509 , 3646 
 1345 , 3639 
 1884 , 3632 
 1026 , 3625 
 970 , 3613 
 1727 , 3586 
 1104 , 3579 
 1444 , 3573 
 1406 , 3571 
 1249 , 3562 
 1033 , 3545 
