"SPECIES: common name","Common house gecko"
 1870 , 3824 
-162 , 3818 
 1544 , 3817 
 1950 , 3812 
 1758 , 3808 
 159 , 3807 
 1490 , 3797 
 1618 , 3796 
 1833 , 3792 
 1716 , 3786 
 1998 , 3780 
 1576 , 3777 
 1917 , 3773 
 1439 , 3767 
 1666 , 3750 
 1794 , 3747 
 1538 , 3746 
 1875 , 3745 
 1743 , 3730 
 1615 , 3729 
 1486 , 3723 
 1844 , 3709 
 1922 , 3703 
 1689 , 3698 
 1567 , 3696 
 1435 , 3694 
 1791 , 3682 
 1634 , 3672 
 1518 , 3672 
 1470 , 3655 
 1739 , 3647 
 1589 , 3645 
 1884 , 3625 
 1547 , 3618 
 1808 , 3607 
 1630 , 3600 
 1491 , 3596 
 1585 , 3582 
 1872 , 3576 
 1819 , 3556 
 1535 , 3551 
 1487 , 3525 
 1832 , 3499 
 1792 , 3481 
 1751 , 3471 
 1878 , 3453 
 1703 , 3451 
 1830 , 3434 
 1654 , 3420 
 1622 , 3406 
 1974 , 3405 
 1912 , 3404 
 1860 , 3375 
 1579 , 3375 
 1717 , 3369 
 1673 , 3352 
 1544 , 3349 
 1820 , 3343 
 1493 , 3338 
 1899 , 3335 
 1772 , 3333 
 1616 , 3325 
 1681 , 3309 
 1850 , 3309 
 1573 , 3300 
 1735 , 3290 
 1625 , 3286 
 1801 , 3284 
 1684 , 3283 
 1924 , 3276 
 1590 , 3259 
 1769 , 3250 
 1881 , 3249 
 1539 , 3242 
 1822 , 3238 
 1639 , 3234 
 1720 , 3228 
 1961 , 3228 
 1492 , 3217 
 1604 , 3217 
 1779 , 3209 
 1441 , 3207 
 1903 , 3202 
 1558 , 3192 
 1676 , 3190 
 1742 , 3184 
 1853 , 3175 
 1509 , 3172 
 1625 , 3164 
 1809 , 3157 
 1690 , 3154 
 1461 , 3147 
 409 , 3146 
 1591 , 3145 
 779 , 3136 
 914 , 3136 
 1760 , 3130 
 350 , 3126 
 533 , 3125 
 1541 , 3120 
 1878 , 3115 
 694 , 3113 
 858 , 3111 
 483 , 3109 
 1833 , 3102 
 647 , 3102 
 1714 , 3100 
 1607 , 3095 
 805 , 3095 
 422 , 3095 
 594 , 3095 
 1450 , 3090 
 972 , 3090 
 927 , 3082 
 1795 , 3082 
 366 , 3079 
 537 , 3075 
 1671 , 3073 
 740 , 3072 
 1555 , 3067 
 1887 , 3067 
 480 , 3065 
 692 , 3064 
 873 , 3057 
 1613 , 3053 
 1736 , 3046 
 653 , 3043 
 999 , 3042 
 1502 , 3042 
 428 , 3034 
 946 , 3034 
 1457 , 3031 
 601 , 3030 
 1687 , 3026 
 372 , 3024 
 770 , 3023 
 1068 , 3016 
 724 , 3013 
 898 , 3011 
 1901 , 3010 
 1756 , 3008 
 1001 , 2998 
 838 , 2993 
 669 , 2988 
 1637 , 2987 
 613 , 2982 
 789 , 2975 
 914 , 2970 
 1088 , 2969 
 740 , 2959 
 518 , 2958 
 1020 , 2955 
 681 , 2940 
 632 , 2935 
 1044 , 2919 
 1101 , 2917 
 977 , 2916 
 810 , 2913 
 530 , 2912 
 762 , 2907 
 698 , 2898 
 933 , 2887 
 642 , 2887 
 983 , 2874 
 536 , 2862 
 715 , 2842 
 899 , 2841 
 654 , 2838 
 940 , 2826 
 605 , 2823 
 796 , 2818 
 549 , 2803 
 720 , 2794 
 663 , 2786 
 607 , 2778 
 557 , 2764 
 780 , 2758 
 729 , 2743 
 670 , 2733 
 609 , 2719 
 559 , 2709 
 741 , 2693 
 673 , 2690 
 566 , 2655 
